,Activity,Age,Country,Fatal (Y/N),Sex,Type,Decade
2322,Swimming with mask & snorkel,53,USA,N,M,Unprovoked,1990
2327,Surfing,26,USA,N,M,Unprovoked,1990
2328,,26,USA,U,M,Unprovoked,1990
2330,,26,USA,,M,Not confirmed,1990
2333,Boogie boarding,13,USA,N,M,Unprovoked,1990
2334,Surfing,17,USA,N,M,Unprovoked,1990
2336,Surfing,39,USA,N,M,Unprovoked,1990
2337,Surfing,14,USA,N,M,Unprovoked,1990
2338,Surfing,17,USA,N,M,Unprovoked,1990
2339,Windsurfing,25,USA,N,M,Unprovoked,1990
2340,Surfing,19,USA,N,M,Unprovoked,1990
2341,Swimming,19,USA,N,F,Unprovoked,1990
2343,Scuba diving,25,USA,Y,M,Unprovoked,1990
2345,Abalone diving using Hookah (resting on the surface),32,USA,N,M,Unprovoked,1990
2346,Swimming,9,USA,,M,Not confirmed,1990
2347,Surfing,19,USA,N,M,Unprovoked,1990
2348,On a float,44,USA,N,M,Unprovoked,1990
2350,Surfing,16,USA,N,M,Unprovoked,1990
2351,Surfing,18,USA,N,M,Unprovoked,1990
2352,Swimming,16,USA,N,M,Unprovoked,1990
2353,Swimming ,23,USA,N,M,Unprovoked,1990
2354,Surfing,19,USA,N,M,Unprovoked,1990
2355,Diving,26,USA,N,,Unprovoked,1990
2357,Wading,20,USA,N,M,Unprovoked,1990
2358,Swimming,15,USA,,M,Not confirmed,1990
2359,Surfing,20,USA,N,M,Unprovoked,1990
2360,"""Riding waves on a board""",14,USA,N,F,Unprovoked,1990
2361,Body boarding,12,USA,N,M,Unprovoked,1990
2363,Diving,26,USA,,M,Not confirmed,1990
2364,Surfing,26,USA,N,M,Unprovoked,1990
2365,Surfing,26,USA,N,M,Unprovoked,1990
2366,Surfing,18,USA,N,M,Unprovoked,1990
2367,Standing,18,USA,N,M,Unprovoked,1990
2368,,12,USA,N,M,Unprovoked,1990
2369,Swimming,7,USA,N,F,Unprovoked,1990
2370,Body boarding,47,USA,N,M,Unprovoked,1990
2373,Surfing,34,USA,N,M,Unprovoked,1990
2374,Fishing,32,USA,N,F,Provoked,1990
2375,Jumped off surfboard & landed on the shark,26,USA,N,M,Provoked,1990
2376,Scuba diving (ascending using scooter),31,USA,N,M,Unprovoked,1990
2377,Kayaking,26,USA,N,F,Unprovoked,1990
2378,Playing / jumping,13,USA,N,M,Unprovoked,1990
2379,Surfing,26,USA,N,M,Unprovoked,1990
2380,Swimming,45,USA,N,M,Unprovoked,1990
2381,Swimming,10,USA,N,F,Unprovoked,1990
2382,Swimming,38,USA,N,M,Unprovoked,1990
2386,Surfing,15,USA,N,M,Unprovoked,1990
2390,,12,USA,,M,Not confirmed,1990
2391,,20,USA,N,M,Unprovoked,1990
2403,Scuba diving,26,USA,,M,Not confirmed,1990
2404,,26,USA,U,M,Unprovoked,1990
2406,"Surfing, sitting on board",26,USA,N,,Unprovoked,1990
2411,Commercial diver (submerged or treading water),42,USA,Y,M,Unprovoked,1990
2414,"Surfing, paddling seawards",34,USA,N,F,Unprovoked,1990
2415,Surfing,26,USA,N,,Unprovoked,1990
2418,Wading,9,USA,N,F,Provoked,1990
2419,Surfing,16,USA,N,M,Unprovoked,1990
2420,Swimming,30,USA,N,F,Unprovoked,1990
2421,Surfing,43,USA,N,M,Unprovoked,1990
2422,Adrift on refugee raft,26,USA,Y,M,Sea Disaster,1990
2423,Jumped off rocks into white water,12,USA,N,F,Unprovoked,1990
2431,Surfing,15,USA,N,M,Unprovoked,1990
2433,Surfing,24,USA,N,M,Unprovoked,1990
2434,Surfing,28,USA,N,M,Unprovoked,1990
2435,Spearfishing,35,USA,N,M,Unprovoked,1990
2436,Wading,36,USA,N,F,Unprovoked,1990
2437,Wading,26,USA,N,M,Unprovoked,1990
2438,Surfing,22,USA,N,M,Unprovoked,1990
2439,,25,USA,,F,Not confirmed,1990
2442,Freediving for seashells,71,USA,N,M,Unprovoked,1990
2446,Removing shark from tank in nightclub ,33,USA,N,M,Provoked,1990
2449,Surfing,23,USA,N,M,Unprovoked,1990
2450,Fishing,26,USA,N,M,Provoked,1990
2454,Surfing,26,USA,Y,M,Unprovoked,1990
2460,Surfing,26,USA,N,M,Unprovoked,1990
2461,Surfing,26,USA,Y,M,Unprovoked,1990
2462,Swimming,30,USA,N,M,Unprovoked,1990
2464,"Surfing, paddling shorewards",26,USA,N,M,Unprovoked,1990
2466,Surfing,26,USA,N,M,Unprovoked,1990
2467,Swimming,26,USA,N,F,Unprovoked,1990
2468,Kayaking,34,USA,N,F,Boat,1990
2469,Surfing,26,USA,N,,Unprovoked,1990
2474,Wading,19,USA,N,M,Unprovoked,1990
2475,,16,USA,N,M,Unprovoked,1990
2478,Surfing,13,USA,N,,Unprovoked,1990
2479,"Surfing, paddling seawards",26,USA,N,M,Unprovoked,1990
2480,Watching the shark feeding on a dead pinniped,26,USA,N,,Boat,1990
2481,Riding floatation device,19,USA,N,F,Unprovoked,1990
2483,Free diving for abalone (ascending),39,USA,N,M,Unprovoked,1990
2487,Playing,12,USA,N,F,Unprovoked,1990
2492,Paddling on surfboard or body board,22,USA,N,M,Unprovoked,1990
2496,Swimming,26,USA,N,F,Unprovoked,1990
2501,Floating on his back,25,USA,N,M,Unprovoked,1990
2503,Paddling on surfboard,35,USA,N,M,Unprovoked,1990
2504,Free diving & spearfishing (ascending),55,USA,N,M,Unprovoked,1990
2512,Surfing,29,USA,N,M,Unprovoked,1990
2516,Snorkeling,26,USA,N,,Unprovoked,1990
2517,"Standing in waist-deep water, helping his father tend a gill net containing dead fish",10,USA,N,M,Unprovoked,1990
2518,Lying on surfboard,30,USA,N,M,Unprovoked,1990
2519,Spearfishing / free diving,31,USA,N,M,Unprovoked,1990
2520,Surfing,19,USA,N,M,Unprovoked,1990
2521,Surfing,24,USA,N,M,Unprovoked,1990
2522,Kayaking,46,USA,N,M,Boat,1990
2524,Scuba diving (submerged),40,USA,N,M,Unprovoked,1990
2525,Surfing,17,USA,N,M,Unprovoked,1990
2526,Body boarding,18,USA,Y,M,Unprovoked,1990
2527,Hookah diving for sea urchins,40,USA,N,M,Unprovoked,1990
2528,Surfing,28,USA,N,M,Unprovoked,1990
2533,Surfing,20,USA,N,M,Unprovoked,1990
2534,Standing,18,USA,N,F,Unprovoked,1990
2536,Surf fishing,26,USA,N,M,Unprovoked,1990
2539,Fell from cliff while fishing & disappeared in strong current,26,USA,,M,Not confirmed,1990
2540,Surfing,22,USA,N,M,Unprovoked,1990
2541,Snorkeling,26,USA,N,M,Provoked,1990
2542,Fisherman,26,USA,,M,Not confirmed,1990
2543,"Zosimo & his son, Jeffrey Popa, failed to return from overnight fishing trip in a 14' boat, Boat apparently sank, debris recovered but his son & boat were never found",26,USA,,M,Not confirmed,1990
2544,Standing,42,USA,N,F,Unprovoked,1990
2552,Scuba diving ,45,USA,,M,Not confirmed,1990
2557,"Surfing, paddling seawards",36,USA,N,F,Unprovoked,1990
2561,Surfing (sitting on his board),21,USA,N,M,Unprovoked,1990
2562,Body boarding,26,USA,Y,M,Unprovoked,1990
2573,Hookah diving for sea urchins,25,USA,N,M,Unprovoked,1990
2574,Snorkeling,41,USA,Y,F,Unprovoked,1990
2575,Snorkeling,26,USA,N,F,Unprovoked,1990
2576,"Fishing from rocks, swept out to sea by large wave & treading water",26,USA,Y,M,Unprovoked,1990
2577,Fishing,26,USA,N,M,Provoked,1990
2579,Surfing,21,USA,N,M,Unprovoked,1990
2580,Surfing,32,USA,N,M,Unprovoked,1990
2584,Swimming,23,USA,N,M,Unprovoked,1990
2585,Wading,10,USA,N,F,Unprovoked,1990
2586,Fishing,26,USA,N,M,Provoked,1990
2588,Snorkeling,39,USA,N,M,Unprovoked,1990
2589,Swimming from makeshift raft  to life vest after fishing boat sank,42,USA,N,M,Unprovoked,1990
2590,Swimming,22,USA,N,M,Unprovoked,1990
2592,Surfing,32,USA,N,M,Unprovoked,1990
2593,Boogie boarding,13,USA,N,M,Unprovoked,1990
2596,Surfing,18,USA,N,M,Unprovoked,1990
2597,Swimming behind sailboat,31,USA,N,M,Unprovoked,1990
2599,Sitting on surfboard,23,USA,N,M,Unprovoked,1990
2602,Diving,26,USA,N,,Provoked,1990
2603,"Surfing, collided with shark",22,USA,N,M,Unprovoked,1990
2604,Sitting on surfboard,26,USA,N,M,Unprovoked,1990
2606,Surfing,38,USA,N,M,Unprovoked,1990
2613,Scuba diving (but on surface),26,USA,N,F,Unprovoked,1990
2614,Surfing,24,USA,N,M,Unprovoked,1990
2615,Surfing,50,USA,N,M,Unprovoked,1990
2616,Surfing,18,USA,N,M,Unprovoked,1990
2619,Surfing,25,USA,N,M,Unprovoked,1990
2620,Surfing,43,USA,N,M,Unprovoked,1990
2621,Surfing,19,USA,N,M,Unprovoked,1990
2623,"Free diving / spearfishing, from paddleboard & floating on the surface",49,USA,N,M,Unprovoked,1990
2624,Kayaking,44,USA,N,M,Boat,1990
2625,SCUBA diving,30,USA,,M,Not confirmed,1990
2626,Surfing,22,USA,N,M,Unprovoked,1990
2627,Surfing,26,USA,N,M,Unprovoked,1990
2628,Wade fishing,18,USA,N,M,Unprovoked,1990
2629,Wading,53,USA,N,F,Unprovoked,1990
2630,Surfing,17,USA,N,M,Unprovoked,1990
2642,Sitting on surfboard,26,USA,N,M,Unprovoked,1990
2645,Scuba diving & spearfishing,26,USA,Y,M,Unprovoked,1990
2646,Board sailing,33,USA,N,M,Unprovoked,1990
2647,Surfing (sitting on his board),26,USA,N,M,Unprovoked,1990
2648,Surfing,17,USA,U,M,Unprovoked,1990
2649,On board 51' fishing vessel One Ki,26,USA,N,M,Provoked,1980
2654,"Wading, knocked down & swept away by large waves",26,USA,,M,Not confirmed,1980
2658,Scuba diving,26,USA,,M,Not confirmed,1980
2659,Surfing,12,USA,N,M,Unprovoked,1980
2660,Diving,49,USA,,M,Not confirmed,1980
2663,"Fishing, stepped on hooked shark's head",51,USA,N,M,Provoked,1980
2664,Observing a shark feeding on a carcass of a humpback whale,26,USA,N,,Boat,1980
2665,Hookah diving for abalone (descending),38,USA,N,M,Unprovoked,1980
2666,Surfing,31,USA,N,M,Unprovoked,1980
2667,Filming 5' blue shark,46,USA,N,M,Provoked,1980
2669,Swimming,21,USA,N,M,Unprovoked,1980
2677,Surfing,16,USA,N,M,Unprovoked,1980
2678,Playing ,9,USA,N,F,Unprovoked,1980
2679,Fell off surfboard 20' from shore,26,USA,N,M,Unprovoked,1980
2680,Spearfishing,45,USA,N,M,Unprovoked,1980
2685,Swimming,19,USA,N,M,Unprovoked,1980
2686,Surfing (lying prone on his board),26,USA,N,M,Unprovoked,1980
2687,,26,USA,N,,Boat,1980
2688,Paddling on surfboard,26,USA,N,M,Unprovoked,1980
2689,Paddling on surfboard,26,USA,N,M,Unprovoked,1980
2695,Kayaking,24,USA,,M,Not confirmed,1980
2696,Kayaking,24,USA,Y,F,Unprovoked,1980
2697,Body boarding,10,USA,N,M,Unprovoked,1980
2699,Swimming in strong current with 3 others when he disappeared,26,USA,Y,M,Unprovoked,1980
2702,Spearfishing using scuba & trailing a string of bleeding fish,26,USA,N,M,Unprovoked,1980
2707,Surfing (sitting on his board),21,USA,N,M,Unprovoked,1980
2709,Surfing,15,USA,N,M,Unprovoked,1980
2710,Surfing,30,USA,N,M,Unprovoked,1980
2711,Surfing,23,USA,N,M,Unprovoked,1980
2713,Wading,23,USA,N,F,Unprovoked,1980
2714,Surfing,21,USA,N,M,Unprovoked,1980
2715,Walking,26,USA,N,F,Unprovoked,1980
2716,Snorkeling,38,USA,Y,M,Unprovoked,1980
2717,Diving in Sharkey's Reef restaurant’s aquarium,26,USA,N,M,Provoked,1980
2720,Surfing,27,USA,N,M,Unprovoked,1980
2724,Swimming,15,USA,N,F,Unprovoked,1980
2725,Boogie boarding,37,USA,N,M,Unprovoked,1980
2729,Scuba diving,42,USA,N,M,Unprovoked,1980
2730,Sittting in water with his child,37,USA,N,M,Unprovoked,1980
2731,Swimming,12,USA,N,M,Unprovoked,1980
2732,Surfing,25,USA,N,M,Unprovoked,1980
2734,Surfing,31,USA,N,M,Unprovoked,1980
2735,Surfing / treading water,29,USA,N,M,Unprovoked,1980
2737,Surfing,26,USA,N,M,Unprovoked,1980
2738,Swimming,24,USA,N,M,Unprovoked,1980
2739,Onboard 21' powerboat that capsized in rough seas,26,USA,,M,Not confirmed,1980
2740,Surfing,14,USA,N,M,Unprovoked,1980
2741,Windsurfing,26,USA,N,M,Unprovoked,1980
2743,Standing ,30,USA,N,F,Unprovoked,1980
2744,Body surfing,26,USA,N,M,Unprovoked,1980
2754,Fishing,26,USA,N,M,Provoked,1980
2759,Surfing,16,USA,N,M,Unprovoked,1980
2761,Surfing,15,USA,N,M,Unprovoked,1980
2763,Surfing,20,USA,N,M,Unprovoked,1980
2769,Wading,12,USA,N,M,Unprovoked,1980
2770,Surfing (sitting on his board),40,USA,N,M,Unprovoked,1980
2771,Surfing,27,USA,N,M,Unprovoked,1980
2772,Body surfing,32,USA,N,F,Unprovoked,1980
2773,Wading,16,USA,N,F,Unprovoked,1980
2774,Dropping anchor,26,USA,N,,Boat,1980
2777,Fishing,26,USA,N,M,Provoked,1980
2778,,12,USA,N,M,Unprovoked,1980
2779,Surfing,26,USA,N,M,Unprovoked,1980
2782,Swimming,16,USA,N,F,Unprovoked,1980
2783,Swimming from shore to anchored sailboat,26,USA,Y,M,Unprovoked,1980
2787,Windsurfing,26,USA,N,M,Unprovoked,1980
2795,Surfing,40,USA,N,M,Unprovoked,1980
2797,Free diving  & spearfishing (submerged),27,USA,N,M,Unprovoked,1980
2800,Surfing,17,USA,N,M,Unprovoked,1980
2801,Surfing,26,USA,N,M,Unprovoked,1980
2802,Surfing,23,USA,N,M,Unprovoked,1980
2804,Swimming,6,USA,N,F,Unprovoked,1980
2807,Surfing,28,USA,N,M,Unprovoked,1980
2808,,26,USA,,,Not confirmed,1980
2809,Surfing,26,USA,N,,Unprovoked,1980
2810,Surfing,18,USA,N,,Unprovoked,1980
2811,Surfing,16,USA,N,,Unprovoked,1980
2816,,8,USA,N,M,Unprovoked,1980
2820,"Fishing, fell from rocks & disappeared",26,USA,Y,M,Unprovoked,1980
2830,Surfing,22,USA,N,M,Unprovoked,1980
2831,Surfing,16,USA,N,M,Unprovoked,1980
2833,,26,USA,N,M,Unprovoked,1980
2835,Boat,26,USA,N,,Boat,1980
2836,Fishing,24,USA,N,M,Provoked,1980
2838,Hookah diving for abalone,46,USA,N,M,Unprovoked,1980
2839,Body boarding,33,USA,N,M,Unprovoked,1980
2840,Floating on inner tube after diving for lobster,24,USA,N,M,Unprovoked,1980
2841,Fishing,26,USA,N,M,Provoked,1980
2842,Free diving & spearfishing (descending),26,USA,N,M,Unprovoked,1980
2844,Scuba diving,26,USA,N,M,Unprovoked,1980
2845,Swimming,17,USA,,M,Not confirmed,1980
2846,Wading,87,USA,N,M,Unprovoked,1980
2847,Wading,11,USA,,M,Not confirmed,1980
2848,Scuba diving,67,USA,,M,Not confirmed,1980
2849,Wading,13,USA,N,F,Unprovoked,1980
2850,Surfing,15,USA,N,M,Unprovoked,1980
2851,Bottom fishing for lingcod & had hooked a fish,26,USA,N,,Boat,1980
2852,Playing in knee-deep water,10,USA,N,F,Unprovoked,1980
2854,"Surfing, but lying prone on his board",26,USA,N,M,Unprovoked,1980
2856,Surfing,25,USA,N,M,Unprovoked,1980
2858,Scuba Diving for lobster (at surface),29,USA,N,M,Unprovoked,1980
2859,Surfing,16,USA,N,M,Unprovoked,1980
2871,Surfing,13,USA,N,M,Unprovoked,1980
2872,Spearfishing,29,USA,N,M,Provoked,1980
2873,Swimming,22,USA,,M,Not confirmed,1980
2874,Surfing or body surfing,23,USA,N,F,Unprovoked,1980
2875,Wading,77,USA,,F,Not confirmed,1980
2876,Surfing,15,USA,N,M,Unprovoked,1980
2877,Surfing (sitting on his board),25,USA,N,M,Unprovoked,1980
2878,"Free diving , but surfacing",26,USA,N,M,Unprovoked,1980
2879,Surfing,17,USA,N,M,Unprovoked,1980
2880,Swimming,26,USA,N,M,Unprovoked,1980
2881,Surfing,16,USA,N,M,Unprovoked,1980
2882,Swimming,26,USA,U,,Unprovoked,1980
2883,Wading,26,USA,N,M,Unprovoked,1980
2884,Skindiving,28,USA,Y,M,Unprovoked,1980
2886,Boat capsized?,31,USA,,F,Not confirmed,1980
2888,Swimming,13,USA,N,F,Unprovoked,1980
2889,Swimming,18,USA,N,F,Unprovoked,1980
2891,"During a shark fishing tournament, the 18' Boatem was capsized by waves, throwing 3 men into the water ",30,USA,N,M,Unprovoked,1980
2894,Towing her sister on plastic ski board,13,USA,N,F,Unprovoked,1980
2907,Steinhart Aquarium,26,USA,N,M,Provoked,1980
2908,Surfing,26,USA,N,M,Unprovoked,1980
2910,Surfing,17,USA,N,M,Unprovoked,1980
2916,Surfing,15,USA,N,M,Unprovoked,1980
2918,Surfing,16,USA,N,M,Unprovoked,1980
2919,Wading,20,USA,N,M,Unprovoked,1980
2920,Standing,15,USA,N,M,Unprovoked,1980
2921,Surfing,26,USA,N,M,Unprovoked,1980
2923,Swimming,14,USA,N,F,Unprovoked,1980
2924,Skindiving,14,USA,N,M,Provoked,1980
2925,Diving,22,USA,N,F,Unprovoked,1980
2926,Fishing,26,USA,N,,Boat,1980
2931,Windsurfing,39,USA,N,F,Unprovoked,1980
2933,Floating on air mattress,17,USA,N,M,Unprovoked,1980
2934,Swimming,42,USA,N,M,Unprovoked,1980
2936,Surfing & dangling foot in water amid baitfish,21,USA,N,M,Unprovoked,1980
2940,Water-skiing,21,USA,N,M,Unprovoked,1980
2941,Surfing,15,USA,N,M,Unprovoked,1980
2942,Surfing,22,USA,N,M,Unprovoked,1980
2943,Surfing,26,USA,U,M,Unprovoked,1980
2945,Surfing,16,USA,N,M,Unprovoked,1980
2949,Surfing,26,USA,N,M,Unprovoked,1980
2952,Fishing,43,USA,N,M,Provoked,1980
2958,Fishing,26,USA,N,M,Provoked,1980
2959,In waist-deep water,26,USA,N,M,Unprovoked,1980
2960,Windsurfing,26,USA,N,M,Unprovoked,1980
2963,Surfing,20,USA,N,M,Unprovoked,1980
2964,Diving,36,USA,N,M,Unprovoked,1980
2965,Free diving for abalone from Zodiac (submerged),28,USA,N,M,Unprovoked,1980
2966,,26,USA,,M,Not confirmed,1980
2968,Surfing,17,USA,,M,Not confirmed,1980
2973,Paddle Boarding,26,USA,N,M,Unprovoked,1980
2974,Swimming,17,USA,N,M,Unprovoked,1980
2975,Swimming,43,USA,,M,Not confirmed,1980
2976,Swimming,19,USA,N,F,Unprovoked,1980
2979,Swimming,20,USA,N,M,Unprovoked,1980
2981,,8,USA,N,F,Unprovoked,1980
2982,"Sailboarding, fell into water 100 yards outside the breakwater",26,USA,N,M,Unprovoked,1980
2983,,26,USA,,F,Not confirmed,1980
2984,Surfing,16,USA,N,M,Unprovoked,1980
2988,Surfing,18,USA,N,M,Unprovoked,1980
2990,Wading,26,USA,N,F,Unprovoked,1980
2991,Swimming,26,USA,N,F,Unprovoked,1980
2992,Swimming,75,USA,Y,F,Unprovoked,1980
2993,Scuba diving (submerged),26,USA,N,M,Unprovoked,1980
2994,Diving,29,USA,Y,M,Unprovoked,1980
2999,Surfing,24,USA,Y,M,Unprovoked,1980
3001,"Spearfishing, but swimming on surface",26,USA,N,M,Unprovoked,1980
3004,Diving to untangle a crab trap line from boat's propeller,59,USA,N,M,Unprovoked,1980
3005,Swimming,19,USA,N,M,Unprovoked,1980
3006,Surfing,26,USA,U,M,Unprovoked,1980
3007,Surfing,17,USA,N,M,Unprovoked,1980
3008,Surfing,24,USA,N,M,Unprovoked,1980
3009,Surfing,28,USA,N,M,Unprovoked,1980
3010,Surfing,26,USA,N,M,Unprovoked,1980
3011,Swimming,26,USA,Y,M,Unprovoked,1980
3012,Surfing,25,USA,N,M,Unprovoked,1980
3013,Surfing,24,USA,N,M,Unprovoked,1980
3014,Surfing,15,USA,N,M,Unprovoked,1980
3015,Spearfishing,19,USA,N,M,Provoked,1980
3016,Fishing,26,USA,,M,Not confirmed,1980
3017,Diving,26,USA,N,M,Unprovoked,1980
3018,"16' catamaran capsized previous night, occupants stayed with wreckage until morning, then attempted to swim ashore",19,USA,Y,F,Unprovoked,1980
3020,Swimming,16,USA,N,F,Unprovoked,1980
3022,Spearfishing,26,USA,N,M,Unprovoked,1980
3025,,26,USA,,M,Not confirmed,1980
3026,"Scuba diving, reportedly also spearfishing",26,USA,Y,M,Unprovoked,1980
3029,Free diving,32,USA,N,M,Unprovoked,1980
3030,Diving,26,USA,N,M,Unprovoked,1980
3035,Standing / Wading,19,USA,N,M,Unprovoked,1980
3036,Surfing,24,USA,N,M,Unprovoked,1980
3042,Surfing,15,USA,N,M,Unprovoked,1980
3044,Commercial spearfishing,25,USA,N,M,Unprovoked,1980
3054,Surfing,29,USA,N,M,Unprovoked,1980
3055,Surfing,19,USA,N,M,Unprovoked,1980
3057,Wading,10,USA,N,F,Unprovoked,1980
3058,Resting on body board,26,USA,N,M,Unprovoked,1980
3060,Body surfing,15,USA,N,M,Unprovoked,1980
3061,Standing,22,USA,N,F,Unprovoked,1980
3062,Surfing,26,USA,N,M,Unprovoked,1980
3063,Surfing,26,USA,N,M,Unprovoked,1980
3064,Scuba diving,44,USA,N,F,Provoked,1980
